Rank,Institution,Country,academic_reputation_score,academic_reputation_rank,employer_reputation_score,"Employer Reputation
 RANK","Faculty Student
 SCORE","Faculty Student
 RANK","Citations per Faculty
 SCORE","Citations per Faculty
 RANK","International Faculty
 SCORE","International Faculty
 RANK","International Students
 SCORE","International Students
 RANK","International Research Network
 SCORE","International Research Network
 RANK","Employment Outcomes
 SCORE","Employment Outcomes
 RANK","Sustainability
 Score","Sustainability
 Rank",Overall
384, Western Sydney University,Australia,19.9,445,14.2,579,4.8,701+,31,425,100,53,45.5,323,87.4,208,8.9,701+,89.2,101=,30.5
385,South China University of Technology,China (Mainland),12.1,601+,6.6,601+,20,673,97.8,36,10.7,701+,4.6,701+,51.3,701+,27.3,439,7.3,701+,30.4
385,Universiti Brunei Darussalam (UBD),Brunei,20.2,438,8.8,601+,92.9,73,9.9,701+,100,62,46.5,318,35.4,701+,56.5,217,12.7,615=,30.4
387,Belarusian State University,Belarus,28.4,308,40.7,230,93,72,1.3,701+,3.8,701+,59.3,250,36.4,701+,38.2,338,1,701+,30.3
388,Universidade Nova de Lisboa,Portugal,28.7,305,21.8,425,15.9,701+,23.9,509,25.3,528,57,260,86.3,227,48.7,264,38.2,384=,30.2
389,Università Vita-Salute San Raffaele,Italy,3.3,601+,1.8,601+,94.4,66,88.5,80,4.4,701+,4.3,701+,39.2,701+,2.1,701+,1.2,701+,30.1
389,University of Cyprus (UCY),Cyprus,10,601+,4.7,601+,4.5,701+,75,135,93.8,162,20,541,73.4,429,42.1,308,5.8,701+,30.1
389,Virginia Polytechnic Institute and State University,United States,26.4,336,26.2,364,18.9,701+,28.4,459,71.8,277,16.5,594,82.6,282,24,471,34.8,406=,30.1
392,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,27.6,320,37.9,248,43.5,358,29.4,439,19.7,603,25.5,471,29.8,701+,19.9,563,38.8,379=,30
393,National and Kapodistrian University of Athens,Greece,26.7,329,33.2,283,2.1,701+,31,426,9.9,701+,15.9,609,86.6,222,85.8,96,29.3,451=,29.9
393,"University of California, Santa Cruz",United States,17.7,512,5.9,601+,7.4,701+,65.3,170,53.4,348,7,701+,64.5,566,6.1,701+,83.6,132=,29.9
393,"University of Rome ""Tor Vergata""",Italy,31.3,285,15.4,547,9,701+,47.2,287,9.6,701+,30.8,422,69.1,495,6.3,701+,57.7,276=,29.9
396,Northeastern University,United States,19.2,470,11.8,601+,15.4,701+,24.6,501,51.6,360,96.4,85,67.3,516,44,291,72.3,205=,29.7
396,Ruhr-Universität Bochum,Germany,20.3,437,8.8,601+,2.5,701+,53.4,240,48.8,371,39.3,358,87.3,209,16.2,632,53.5,295=,29.7
396,Sejong University ,South Korea,10.8,601+,16.1,528,11.9,701+,76.9,127,23.8,551,31.2,418,64.1,570,1.8,701+,45.9,336=,29.7
396,Université de Liège,Belgium,17,531,11.8,601+,9.6,701+,38,365,50.3,364,53,277,94.6,86,23.6,478,81.2,148=,29.7
396,University of Southern Queensland ,Australia,8.8,601+,5.7,601+,4.8,701+,73.1,143,84.1,223,23,503,81,310,8.6,701+,43,353,29.7
401,Kazan (Volga region) Federal University,Russia,23.6,373,11.4,601+,95.6,58,2.4,701+,10.2,701+,95.7,93,88.3,191,15.4,647,22.2,513=,29.6
401,Koç University,Turkey,24.3,359,54.6,155,19.1,697,32.4,407,24.7,540,13,659,51.6,701+,6.8,701+,34.8,406=,29.6
403,Amirkabir University of Technology,"Iran, Islamic Republic of",5.2,601+,20.5,445,4.6,701+,100,7,24.6,543,2.8,701+,70.2,483,5.8,701+,1.6,701+,29.5
403,University of Canberra ,Australia,14.3,601+,7.7,601+,2.4,701+,51.2,255,79.6,243,69.4,213,63.1,583,5.6,701+,70.9,217=,29.5
405,Institut National des Sciences Appliquées de Lyon (INSA),France,7.4,601+,28.7,334,33.7,469,60.6,201,29.2,500,58.3,254,59.5,638,14.4,680,2.4,701+,29.3
405,Satbayev University,Kazakhstan,27.8,318,43.4,211,88.1,94,1.2,701+,66.7,296,16.9,588,15,701+,23.6,477,3.8,701+,29.3
405,USI - Università della Svizzera italiana,Switzerland,6.1,601+,4.6,601+,73.5,176,40.7,343,100,34,100,13,39.3,701+,2.1,701+,1.1,701+,29.3
408,"Birkbeck, University of London",United Kingdom,10,601+,3.6,601+,15.6,701+,57.1,218,97.7,123,99.5,46,55.5,686,8.8,701+,7.7,701+,29.1
408,Masaryk University,Czech Republic,23.5,376,31.7,298,9.5,701+,13.8,656,27.6,513,66.7,223,80.2,318,36,352,79.1,161=,29.1
410,HSE University,Russia,24,366,38.4,246,84.8,105,1.8,701+,6.6,701+,13.5,652,83.6,271,13,701+,44.6,343=,29
410,The American University in Cairo,Egypt,32.1,274,31.1,301,35.5,444,5.2,701+,97,130,3.8,701+,29.4,701+,75.6,138,14.6,597=,29
412,Auckland University of Technology (AUT),New Zealand,19.3,464,11.2,601+,10.6,701+,21.7,536,100,64,99.8,42,52.6,701+,12.4,701+,72.6,202=,28.9
413,Graz University of Technology,Austria,14.7,590,15.7,545,98.9,40,11.1,701+,81.8,232,59.7,247,59.9,634,11.9,701+,2.8,701+,28.8
413,Yeshiva University,United States,3.1,601+,2.8,601+,65.3,202,91.6,71,31.4,488,13.5,651,6.6,701+,3,701+,15.8,583,28.8
415,Concordia University,Canada,15.8,559,11.4,601+,3.3,701+,17.5,590,87.4,208,92.3,104,73.8,423,43.6,294,89.8,96=,28.7
416,Oxford Brookes University,United Kingdom,30.7,289,37.6,250,13.7,701+,7,701+,67.5,291,67.4,220,68.4,508,20.5,554,13.2,606=,28.6
416,Technion - Israel Institute of Technology,Israel,23.9,369,24.8,385,52,293,20.1,555,74.2,266,4.3,701+,59.1,641,35.3,359,15,592=,28.6
418, University of Dundee,United Kingdom,18.4,494,13.7,590,30.8,512,14,654,91.1,185,89.4,126,75.2,405,7.4,701+,55.4,285=,28.5
418,Bogaziçi University,Turkey,24.9,353,65.3,118,4.1,701+,10.7,701+,10.7,701+,2.6,701+,46.8,701+,84.9,102,46.2,334=,28.5
420,Czech Technical University in Prague,Czech Republic,22,404,42.4,217,80.6,129,3.6,701+,19.9,598,50.2,293,59.4,639,15.6,642,5.8,701+,28.4
421,Dublin City University,Ireland,20.1,441,26,366,25.8,577,10.7,701+,75,265,22.6,508,75.4,401,35.3,358,82.5,143=,28.3
421,University of Limerick,Ireland,18.3,497,25.5,371,15.7,701+,23,520,87.1,209,30.8,421,72.5,447,8,701+,76.4,176=,28.3
423,Aston University,United Kingdom,12.5,601+,18.5,478,9,701+,34.4,388,94.2,160,53.8,274,79.2,336,19.6,569,46.9,330=,28.1
423,Université Laval,Canada,19.2,468,8.1,601+,26,572,23.8,512,55.8,336,41.6,344,80.2,317,36.4,349,78.4,166=,28.1
425,National Taipei University of Technology,Taiwan,13.9,601+,54.7,154,24.3,602,41.6,334,19.8,602,20.6,531,21.3,701+,22.5,509,31.3,435=,28
426,IPB University (a.k.a. Bogor Agricultural University),Indonesia,23.5,375,46.9,196,71.4,186,1.8,701+,53.2,351,3.6,701+,19.1,701+,33.9,373,35.1,403=,27.9
426,Leibniz University Hannover,Germany,21.2,415,32,293,17.9,701+,17.4,591,46.3,388,26.9,455,78.5,347,14.5,676,82.1,146,27.9
428,Julius-Maximilians-Universität Würzburg,Germany,15.8,560,7,601+,5.5,701+,74.4,136,45,396,9.5,701+,78.5,348,8.7,701+,8.8,692=,27.8
428,Southeast University,China (Mainland),13.5,601+,6.6,601+,20.8,658,82,102,14.4,675,3.4,701+,69.2,494,5,701+,11.6,629=,27.8
430,University of Science and Technology Beijing,China (Mainland),11.8,601+,4.2,601+,10.2,701+,99.4,21,3.1,701+,2.8,701+,56.8,668,4.9,701+,3.6,701+,27.7
431,Central South University,China (Mainland),8.6,601+,4.1,601+,5.5,701+,99.7,15,6.4,701+,4,701+,67.5,515,14.1,689,3.9,701+,27.6
431,Tomsk State University,Russia,22,403,13.5,601+,99,36,4.2,701+,21.6,574,91.6,113,64.1,571,4.4,701+,1.4,701+,27.6
431,University of Granada,Spain,44.4,191,14.1,581,5.7,701+,26.2,482,3.1,701+,14.8,628,96.3,52,4.9,701+,26.3,478=,27.6
477,Ajman University,United Arab Emirates,17.3,521,42.2,221,9.6,701+,3.2,701+,100,6,100,3,48.4,701+,9.8,701+,1.4,701+,25.1
435,IE University,Spain,8.1,601+,49.3,182,46.5,328,2.2,701+,95.2,145,100,4,3.5,701+,65.6,176,4.6,701+,27.4
436,Iran University of Science and Technology,"Iran, Islamic Republic of",7.8,601+,14,584,2.7,701+,98.7,31,12,701+,1.5,701+,53.4,701+,5.3,701+,1.6,701+,27.2
436,Murdoch University,Australia,8,601+,4.5,601+,5.2,701+,57.3,216,85.6,216,73.9,194,74.9,410,14.8,668,11.3,636=,27.2
436,Universitat Politècnica de València,Spain,26.5,335,16.3,521,36.1,440,19.7,559,5.5,701+,25,479,84.9,248,11.7,701+,76.1,178=,27.2
439,Vilnius University ,Lithuania,19.1,472,23.5,405,74.7,168,3.3,701+,12.4,701+,13.6,649,75.5,398,83.7,105,27.1,471=,27.1
440,Singapore University of Technology and Design,Singapore,7.4,601+,5.3,601+,99,37,66,168,,,,,31.2,701+,4.6,701+,1.1,701+,27
440,Università degli Studi di Pavia,Italy,21.7,406,7.4,601+,8.3,701+,64.6,173,6.2,701+,12.6,666,82.7,281,13.5,701+,15.4,585=,27
442,Colorado State University,United States,18.3,498,20.4,447,60.9,236,17.1,599,18.5,621,3.7,701+,78.4,351,22.2,517,70.9,217=,26.8
442,Novosibirsk State University,Russia,24.7,354,18.4,480,91,81,9.5,701+,6.3,701+,57,259,56.5,671,5.8,701+,5.3,701+,26.8
442,Università Cattolica del Sacro Cuore,Italy,24.2,360,35.5,267,27.6,552,19.2,567,15.5,661,7.1,701+,60.5,628,32.3,393,54.8,289=,26.8
445,James Cook University,Australia,14.4,601+,6.5,601+,17.5,701+,46.9,292,36.7,434,16,607,76,389,6.7,701+,88.9,103=,26.7
445,Justus-Liebig-University Giessen,Germany,12.7,601+,5.9,601+,1.9,701+,79.3,113,14.2,679,18.8,569,83.9,264,10.5,701+,11,644=,26.7
445,Universitat de Valencia,Spain,35.6,246,11,601+,12,701+,19.9,557,2.1,701+,24.3,484,89.3,180,8.4,701+,79.3,159=,26.7
448,Dalian University of Technology,China (Mainland),9.6,601+,3.8,601+,18.1,701+,88.1,82,11.5,701+,2.9,701+,55.9,680,14.4,678,8,701+,26.6
448,Hunan University ,China (Mainland),7.9,601+,10.3,601+,15.2,701+,90.6,74,4.6,701+,1.8,701+,46.5,701+,23.1,495,2.7,701+,26.6
448,Université de Montpellier,France,18.6,486,3.4,601+,8.5,701+,57.2,217,22.8,562,29.9,431,99.5,6,13.1,701+,17.3,561,26.6
451,University of Electronic Science and Technology of China,China (Mainland),5.3,601+,5,601+,8.2,701+,99.1,25,3.2,701+,2.5,701+,73.3,433,7.2,701+,2.3,701+,26.5
452,Beihang University (former BUAA),China (Mainland),12.1,601+,7.8,601+,41.5,375,72.1,147,7,701+,4.5,701+,51.2,701+,12.8,701+,4.3,701+,26.4
452,National Taiwan Normal University,Taiwan,34.7,254,20.5,444,62.9,219,5.4,701+,14.5,673,25.2,478,23.3,701+,17.3,612,49.8,319=,26.4
452,University of Kansas,United States,14.4,601+,12.6,601+,86.7,99,9.2,701+,60.3,322,7.2,701+,84.6,255,28.2,435,32.4,427,26.4
452,University of Stirling,United Kingdom,11.2,601+,9.4,601+,9.3,701+,30.3,436,76.9,253,81.3,168,61.6,606,15.8,638,76.1,178=,26.4
456,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,16.6,541,23.6,404,94.6,64,12,692,31.1,489,45.5,324,41.7,701+,17.6,605,1,701+,26.3
456,Umea University,Sweden,19.9,447,11.6,601+,71.8,182,15.2,631,51.1,362,21.8,518,78,360,9,701+,26.3,478=,26.3
456,Université de Strasbourg,France,39.1,219,10.3,601+,5.1,701+,20.7,549,34.2,469,35.9,384,90.7,161,20.4,558,5.4,701+,26.3
456,University of Guelph,Canada,12.8,601+,12.8,601+,5,701+,50.1,261,46.4,385,14.3,636,65.2,552,11.2,701+,82.9,139=,26.3
460,"Stony Brook University, State University of New York",United States,18,504,7.3,601+,32.2,489,23.6,515,34.7,462,43.5,332,76,390,21.2,541,79.1,161=,26.2
461,Universidad de Santiago de Chile (USACH),Chile,43.4,195,55,152,7.2,701+,4.2,701+,6.3,701+,2.2,701+,51.1,701+,12.7,701+,11.2,642=,26.1
462,Tampere University,Finland,21.7,407,15.4,548,20.4,662,33.1,400,44.5,398,5.9,701+,84.8,251,30.8,409,23,508,26
462,Universidad de Sevilla,Spain,39.1,221,12.6,601+,18.4,701+,8.2,701+,3.5,701+,18.9,567,91.4,152,16,634,67.4,231,26
464,Macau University of Science and Technology,Macau SAR,4.4,601+,3.4,601+,3.9,701+,56.4,222,100,23,100,1,26.2,701+,29.5,423,11.3,636=,25.9
465,Kobe University,Japan,28.4,309,33.2,281,43.9,356,11.4,701+,7,701+,5.6,701+,55,698,15,662,49.8,319=,25.8
466,Universität Konstanz,Germany,18.3,495,10.5,601+,37.8,421,18.3,578,85.9,215,14.5,634,66.1,537,13.1,701+,63.1,250=,25.7
466,Universitat Ramon Llull,Spain,11,601+,52,167,8.7,701+,8.1,701+,93.6,164,43.1,336,32.6,701+,71.7,149,20.1,530=,25.7
466,University at Buffalo SUNY,United States,18,503,10.7,601+,8.8,701+,33.6,393,20.1,596,36.9,380,68.6,504,33.3,383,82.5,143=,25.7
466,Washington State University,United States,23.3,379,20,452,15.5,701+,33.5,396,47.1,379,5,701+,77.3,373,8.6,701+,29.6,447=,25.7
470,Iowa State University,United States,20.7,425,12,601+,9.1,701+,47.9,280,7.5,701+,12.5,667,77.3,374,32.9,388,31.3,435=,25.6
471,Ben-Gurion University of The Negev,Israel,14.4,601+,14.5,569,11.1,701+,51.7,253,64,304,14.3,635,64.9,558,16.3,630,11.8,623=,25.5
472,"Essex, University of",United Kingdom,15.5,568,5.2,601+,12.7,701+,22.6,523,99.8,93,98.6,62,75.1,408,14,693,13.2,606=,25.3
472,Johannes Kepler University Linz,Austria,12.8,601+,12.3,601+,75.9,162,14.3,649,83.5,226,33.5,402,59.7,636,12.2,701+,13.2,606=,25.3
474,Bangor University,United Kingdom,8.6,601+,5.8,601+,12.1,701+,43,321,40.7,416,52.3,280,75,409,8.1,701+,82.9,139=,25.2
474,Hiroshima University,Japan,24.1,363,12.3,601+,75.9,161,8.9,701+,13.2,701+,12.9,660,70.1,485,6.9,701+,50.8,315=,25.2
474,Universität Potsdam,Germany,15.8,557,3.4,601+,18.6,701+,36.5,375,51.8,358,21.2,526,92.9,121,1.3,701+,67.1,232=,25.2
434,University of Sharjah,United Arab Emirates,18.1,501,17.3,496,6,701+,22,532,100,8,100,31,84.8,250,11.2,701+,11.8,623=,27.5
477,Bilkent University,Turkey,24,365,52.1,164,13.3,701+,15.2,632,61.4,319,3.7,701+,38.3,701+,19.3,573,10.6,653=,25.1
477,Indian Institute of Technology Indore (IIT Indore),India,6.1,601+,5,601+,27.1,558,95.6,47,2.1,701+,1.1,701+,23.6,701+,2.2,701+,4.2,701+,25.1
477,Royal Holloway University of London,United Kingdom,14.9,585,5.7,601+,13,701+,27.2,474,94.1,161,86.9,141,73.2,434,7.2,701+,19.7,537=,25.1
481,Aix-Marseille University,France,36.9,235,6.5,601+,7.9,701+,21.7,534,17.5,633,18.2,578,99.1,13,15.2,656,25.5,488=,25
481,Pontificia Universidad Católica Argentina,Argentina,19.9,446,29.4,320,99.9,19,1.1,701+,1.9,701+,6.7,701+,12.5,701+,85.7,97,1,701+,25
481,"The University of Tennessee, Knoxville",United States,10.1,601+,8.2,601+,9.5,701+,76.3,131,4.9,701+,2.4,701+,77.3,371,11,701+,15,592=,25
484,China Agricultural University ,China (Mainland),8.4,601+,2.6,601+,18.9,701+,88.8,79,3.2,701+,1.5,701+,52.2,701+,4.5,701+,5.8,701+,24.9
485,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,4.6,601+,3.3,601+,35.5,446,46.8,293,100,10,100,15,15.4,701+,4.1,701+,1.1,701+,24.8
485,National Sun Yat-sen University,Taiwan,26.5,334,24.9,383,32,493,22.1,529,22.7,563,10.8,701+,35.6,701+,11.4,701+,48.9,324=,24.8
487,Universität Mannheim,Germany,15.3,572,53.9,157,3,701+,31,427,42.4,406,22.7,506,27.9,701+,34.9,363,1.5,701+,24.7
488,University of Hawai?i at Manoa,United States,15.2,576,6.6,601+,29.7,525,41.7,332,41.7,412,12,679,82.9,278,7.9,701+,30.1,443=,24.6
489,Chongqing University,China (Mainland),7.6,601+,4.6,601+,12.1,701+,81.4,105,21.3,582,2.1,701+,59.6,637,13.6,701+,4.1,701+,24.5
489,Chung-Ang University (CAU),South Korea,16,555,31.9,296,67.8,195,9.3,701+,14.2,680,37.8,371,29.9,701+,13.5,701+,49.5,322=,24.5
489,Isfahan University of Technology,"Iran, Islamic Republic of",4.9,601+,15.7,541,5.1,701+,92.2,68,2.3,701+,1.4,701+,43.5,701+,5.6,701+,1.1,701+,24.5
489,Shanghai University,China (Mainland),20.3,435,13.1,601+,50.8,303,30.5,429,40.9,415,5.3,701+,58.7,649,8.9,701+,10.5,655=,24.5
489,UNESP,Brazil,41.1,207,25.8,368,13,701+,16.2,619,5.9,701+,2.7,701+,70.9,469,1.5,701+,14.5,600=,24.5
489,University of Jyväskylä,Finland,16.2,548,11.4,601+,87.7,96,12.1,687,44,400,2.6,701+,81.2,303,10.4,701+,16.3,570=,24.5
495,Central Queensland University (CQUniversity Australia),Australia,9,601+,6.7,601+,29.4,528,20.9,548,97.1,128,97.8,72,44,701+,3.1,701+,49.8,319=,24.4
495,Duy Tan University,Vietnam,11.9,601+,25.3,376,3.9,701+,49,273,37.7,428,1.4,701+,83.5,273,4.4,701+,29,453=,24.4
497,Jilin University,China (Mainland),12.1,601+,46.1,200,37.4,428,27.4,472,11.6,701+,2.1,701+,62.2,601,23.2,492,9.1,686=,24.2
497,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,9.2,601+,11.8,601+,98.9,39,8.1,701+,45.8,391,89.5,125,32.9,701+,14.6,675,1.1,701+,24.2
497,Universidad de Costa Rica,Costa Rica,35.4,248,24.3,397,32.3,487,1.6,701+,2.4,701+,2,701+,45.5,701+,81.6,115,16.9,563=,24.2
497,"University of California, Riverside",United States,16.3,546,9.4,601+,6.6,701+,50.9,256,47.9,375,10.4,701+,77.3,372,3.7,701+,21.3,521=,24.2
202,Khalifa University of Science and Technology,United Arab Emirates,22.7,393,21,437,80,137,60.7,199,100,12,78.9,174,78.8,341,9.3,701+,61.6,263=,46.1
501,Colorado School of Mines,United States,6.8,601+,12.5,601+,15.8,701+,72,148,29.7,496,7.4,701+,30.9,701+,17.7,604,18,555=,24.1
501,East China Normal University,China (Mainland),13.3,601+,4.7,601+,16.2,701+,63.5,180,24.1,546,9,701+,72,450,9,701+,6.8,701+,24.1
501,Johannes Gutenberg Universität Mainz,Germany,22.3,400,11.4,601+,57.8,254,11.5,701+,42,411,15.5,614,87,215,11.4,701+,16.3,570=,24.1
501,University of Huddersfield,United Kingdom,12.7,601+,12.4,601+,7.5,701+,19.4,564,63.7,308,85.6,148,73,441,1.3,701+,72.3,205=,24.1
506,University of Delaware,United States,9.4,601+,7.9,601+,6.6,701+,53.9,237,30,495,12.6,665,66.5,530,16.9,617,65.3,239=,24
506,University of Trento,Italy,24.9,352,10.5,601+,22,639,32.7,402,29.6,497,6.1,701+,85.8,234,4.4,701+,19,547,24
508,Aristotle University of Thessaloniki,Greece,28.2,313,26.1,365,4.3,701+,15.8,623,1.7,701+,4.1,701+,90.5,164,38.3,335,44.3,348=,23.9
508,Shenzhen University,China (Mainland),7.7,601+,3.2,601+,42.1,369,64.5,175,11,701+,1.4,701+,65.1,555,15.8,637,7.4,701+,23.9
508,SOAS University of London ,United Kingdom,17.1,528,9.4,601+,14.8,701+,15.1,635,100,60,98.7,61,16.9,701+,22.4,513,39.1,378,23.9
511,Ewha Womans University,South Korea,22.1,401,21.2,434,76.3,157,6.9,701+,7,701+,24.4,483,31.3,701+,23,496,34.2,413=,23.8
511,Zhengzhou University,China (Mainland),5.4,601+,22,422,4.9,701+,80.3,108,,,2.4,701+,56.3,674,5.7,701+,2.4,701+,23.8
513,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),Saudi Arabia,10.5,601+,11.4,601+,89.5,87,2.6,701+,98.2,118,19.7,548,68.3,509,2.4,701+,18.4,549=,23.7
513,Prince Mohammad Bin Fahd university,Saudi Arabia,20.3,436,23,409,23.1,621,27.8,468,100,11,18.8,570,23.3,701+,2.8,701+,1.2,701+,23.7
513,University of Milano-Bicocca ,Italy,20.4,432,10.9,601+,3.3,701+,54.1,236,3.5,701+,4.3,701+,81.1,307,11.5,701+,14.8,596,23.7
516,Ateneo de Manila University,Philippines,21.4,410,64.5,122,24.4,601,1.8,701+,2.9,701+,2.5,701+,23,701+,70.6,156,15.6,584,23.6
516,Edith Cowan University ,Australia,8.5,601+,6.8,601+,4.8,701+,49.8,265,78.5,245,57.7,256,64.5,565,4.7,701+,5.8,701+,23.6
516,INTI International University,Malaysia,7.7,601+,19.9,453,89.1,90,1.7,701+,95.4,143,92.9,102,7,701+,4.4,701+,1.1,701+,23.6
516,Kyungpook National University,South Korea,11.1,601+,16.7,514,66.9,196,20.5,551,11.1,701+,25.7,470,52,701+,10.6,701+,60.6,266=,23.6
516,Sabanci University,Turkey,19.5,457,44.6,206,38.2,416,19.4,565,32,483,14.2,637,25.9,701+,7.2,701+,7.9,701+,23.6
516,University of Hull,United Kingdom,8.9,601+,4.5,601+,14.3,701+,21.5,537,63.3,309,81.5,166,76.9,380,20.5,555,68,228=,23.6
516,Ural Federal University - UrFU,Russia,19.6,455,14.2,577,95.5,60,2.1,701+,5.4,701+,25.3,475,86.6,220,1.9,701+,12.7,615=,23.6
621-630,Zayed University,United Arab Emirates,17.6,515,18.4,479,24.3,604,8.6,701+,100,15,1.9,701+,50.8,701+,20.9,550,2.9,701+,-
524,Pusan National University,South Korea,18.7,482,16.5,516,43.5,359,19.5,562,10.5,701+,13.7,646,57.7,657,13.8,700,65,241=,23.4
524,Universidad Austral,Argentina,20.9,420,36.2,259,79.7,139,1.9,701+,2.7,701+,7.5,701+,10.2,701+,65.9,174,1.3,701+,23.4
526,Universität Jena,Germany,17.2,525,5.7,601+,99.9,23,8.8,701+,,,20.2,535,94.7,82,3.9,701+,13.1,613=,23.3
527,Missouri University of Science and Technology,United States,4,601+,6.1,601+,5.7,701+,86.2,90,35.2,455,12.8,663,30.5,701+,4.8,701+,1.7,701+,23.2
527,Universität Leipzig,Germany,23.5,378,9.7,601+,74.8,167,8.4,701+,,,14.2,638,84.3,257,10.5,701+,21.3,521=,23.2
527,University of Bayreuth,Germany,10.2,601+,15.7,544,50.3,307,25.8,489,54.8,339,21.2,525,75.1,407,9,701+,11.3,636=,23.2
527,Warsaw University of Technology,Poland,23.3,380,51.9,168,42.6,366,4.7,701+,2.4,701+,10.3,701+,60.6,627,9.8,701+,1.4,701+,23.2
526,Coventry University,United Kingdom,9.9,601+,10.4,601+,16.9,701+,7.1,701+,77,253,99.9,35,82.6,283,10,701+,64.4,243=,23.3
531,Indian Institute of Technology (BHU) Varanasi,India,5.5,601+,5.9,601+,3.9,701+,95,48,1.4,701+,1.1,701+,24.5,701+,6.5,701+,10.1,661=,23.1
531,University of Bradford,United Kingdom,9.1,601+,7.1,601+,6.8,701+,21.7,534,68.5,290,97.6,75,66,539,34.3,368,40.7,362,23.1
531,University of Utah,United States,15.7,561,6.3,601+,50,309,30.5,431,15.5,659,10.3,701+,80.5,313,17.4,608,24.5,492=,23.1
534,Universidad Nacional de La Plata (UNLP),Argentina,40.8,208,19.2,466,28.4,547,1.9,701+,5.3,701+,22.6,507,55.4,689,27.3,438,2.2,701+,23
535,Lahore University of Management Sciences (LUMS),Pakistan,17.2,526,73.2,93,27.1,560,7.4,701+,12.2,701+,1.8,701+,19.5,701+,37,345,1.1,701+,22.9
535,Northumbria University at Newcastle,United Kingdom,10.9,601+,10.8,601+,11.8,701+,15.8,622,70.7,281,56.2,267,78.4,350,14,691,75.3,184=,22.9
535,University of Bordeaux,France,31.3,284,5.5,601+,11.5,701+,17.6,588,27.1,517,23.3,500,92.9,120,16.7,620,20.1,530=,22.9
535,University of Eastern Finland,Finland,13.8,601+,7.6,601+,43.7,357,18.4,576,37.4,431,5.2,701+,86.4,224,4.2,701+,78.6,164=,22.9
539,Applied Science University - Bahrain,Bahrain,23.5,377,25,380,39.3,398,2,701+,100,17,46.8,313,13.3,701+,11.3,701+,1.7,701+,22.8
539,Hitotsubashi University,Japan,14.4,601+,73,94,30.8,510,2.1,701+,19.8,600,20,539,7.5,701+,51.9,242,1.1,701+,22.8
539,Sunway University,Malaysia,13,601+,39.2,240,44,355,10.3,701+,35.9,443,33.2,404,51.1,701+,3.9,701+,27.3,468=,22.8
539,Université de Fribourg,Switzerland,10.3,601+,3,601+,7.5,701+,25.4,493,99.9,84,38.3,368,58.3,654,40.6,314,51.8,310=,22.8
539,University of Salamanca,Spain,26.9,328,14.6,567,26,570,6.2,701+,6.9,701+,14.9,625,80,322,23.4,484,69.5,223=,22.8
544,Universidad de Zaragoza,Spain,21.3,413,5.1,601+,56.1,262,7,701+,4.5,701+,9,701+,89.5,174,10.7,701+,77.1,175,22.7
544,Universidad Pontificia Comillas,Spain,8.3,601+,71.6,97,38.3,415,2.2,701+,18.7,616,5,701+,9,701+,85.4,100,7.1,701+,22.7
547,Northwestern Polytechnical University,China (Mainland),5.8,601+,3.2,601+,44.8,345,63.8,178,16.7,643,5.2,701+,53.4,701+,6.6,701+,2.4,701+,22.6
547,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU),Uzbekistan,30.6,290,19.9,456,79,144,2.2,701+,26.3,522,4.1,701+,8.6,701+,15.1,659,9.5,678=,22.6
547,University of Genoa,Italy,18.8,479,4.9,601+,12.7,701+,43.7,314,5.4,701+,9.2,701+,81.2,304,10.5,701+,39.5,371=,22.6
547,University of Iceland,Iceland,6.8,601+,2.5,601+,99.9,21,6.7,701+,25.7,525,10.3,701+,73.5,427,83.2,108,5.9,701+,22.6
547,University of Windsor,Canada,3.9,601+,3.9,601+,2.2,701+,36.2,378,88.7,199,83.8,159,51.1,701+,25.8,458,38.5,381=,22.6
261,United Arab Emirates University,United Arab Emirates,30.1,295,38.3,247,49.8,312,16.6,612,100,19,34.2,396,86.2,230,82,111,36.6,393=,39.4
552,University of Tabriz,"Iran, Islamic Republic of",5.9,601+,5,601+,3.4,701+,81.7,104,1.5,701+,6.8,701+,71.8,453,5.3,701+,1.2,701+,22.5
554,Hasselt University ,Belgium,5.8,601+,3.3,601+,82.1,120,15.4,630,74.2,268,25.3,476,69.6,490,2.4,701+,26.8,473=,22.4
554,Jordan University of Science & Technology,Jordan,21,419,30.7,306,18.8,701+,5.6,701+,38.2,425,67.7,218,55.5,685,4.3,701+,24.5,492=,22.4
554,Universiti Utara Malaysia (UUM),Malaysia,22,402,25.4,373,38.8,406,8.2,701+,19.4,609,79.3,173,34.1,701+,12.3,701+,5.3,701+,22.4
554,University of Dhaka,Bangladesh,23,390,45.6,201,11.2,701+,2.9,701+,1.6,701+,1,701+,52,701+,93.7,59,11.8,623=,22.4
554,University Ulm,Germany,7.4,601+,5.5,601+,78.5,147,31.2,422,39.6,420,21,528,61.1,615,2.9,701+,2.1,701+,22.4
559,Peter the Great St. Petersburg Polytechnic University,Russia,16,551,10.9,601+,74.3,171,2.9,701+,14.1,681,84,157,64.7,562,4.9,701+,11.2,642=,22.3
